name,matchup_wins,matchup_losses,points_for,points_against,actual_rank,actual_wins,actual_losses
Rayven Charles 👀,11,3,1879.92,1675.6999999999998,1,11,3
team ,10,4,1829.4199999999998,1486.1399999999999,2,10,4
. FREE MONEY 1.0,8,6,1733.2599999999998,1732.1399999999999,3,8,6
GetoffmyDitka Ditka,8,6,1635.3399999999997,1612.3999999999999,4,8,6
Imane Khelif,7,7,1546.5,1620.42,6,7,7
Crosstown Traffic,7,7,1655.8,1629.28,5,7,7
SLICK RICK,6,8,1405.06,1590.8600000000001,10,6,8
Ballin Ballers,6,8,1509.2400000000002,1600.1399999999996,8,6,8
InIt2WinIt BeNnEtT,6,8,1440.6799999999998,1461.26,9,6,8
Richard Bentley Richard Bentley,6,8,1560.58,1612.26,7,6,8
ICEBOX,5,9,1483.6999999999998,1549.38,11,5,9
Cho-Kon It,4,10,1519.58,1629.1,12,4,10
