name,wins,losses
Rayven Charles 👀,22,6
team ,20,8
. FREE MONEY 1.0,18,10
Crosstown Traffic,17,11
GetoffmyDitka Ditka,16,12
Imane Khelif,13,15
Richard Bentley Richard Bentley,12,16
Ballin Ballers,11,17
Cho-Kon It,11,17
InIt2WinIt BeNnEtT,10,18
SLICK RICK,9,19
ICEBOX,9,19
